identity_decision_id,named_source_id,supporting_query_ids,candidate_keys_considered,primary_selected_candidate_key,primary_decision,primary_reason,primary_reviewer,audit_selected_candidate_key,audit_decision,audit_reason,audit_reviewer,conflict_status,adjudicator,final_selected_candidate_key,final_decision,final_reason,inspected_primary_url
LID-20260722-0001,NS-CAUSAL-001,SEARCH-20260722-LINEAGE-CAUSAL-98,PMID:30601823,PMID:30601823,resolved,"The sole manifested candidate exactly matches the target title, first author Augustine T Choko, and year 2019; its identifiers are PMID 30601823 and DOI 10.1371/journal.pmed.1002719, and its URL is the corresponding PubMed record.",task6-primary-codex-batch-01,PMID:30601823,resolved,"Exact target-title, first-author Augustine T Choko, and 2019 year match; no non-context target identifier conflicts with candidate PMID 30601823 and DOI 10.1371/journal.pmed.1002719.",task6-audit-codex-batch-01,none,,PMID:30601823,resolved,"Exact target-title, first-author Augustine T Choko, and 2019 year match; no non-context target identifier conflicts with candidate PMID 30601823 and DOI 10.1371/journal.pmed.1002719.",https://pubmed.ncbi.nlm.nih.gov/30601823/
LID-20260722-0003,NS-CAUSAL-003,SEARCH-20260722-LINEAGE-CAUSAL-100,PMID:23757082,PMID:23757082,resolved,"The sole manifested candidate exactly matches the target title, first author Jeffrey S Gerber, and year 2013; its identifiers are PMID 23757082 and DOI 10.1001/jama.2013.6287, and its URL is the corresponding PubMed record.",task6-primary-codex-batch-01,PMID:23757082,resolved,"Exact target-title, first-author Jeffrey S Gerber, and 2013 year match; no non-context target identifier conflicts with candidate PMID 23757082 and DOI 10.1001/jama.2013.6287.",task6-audit-codex-batch-01,none,,PMID:23757082,resolved,"Exact target-title, first-author Jeffrey S Gerber, and 2013 year match; no non-context target identifier conflicts with candidate PMID 23757082 and DOI 10.1001/jama.2013.6287.",https://pubmed.ncbi.nlm.nih.gov/23757082/
LID-20260722-0004,NS-CAUSAL-004,SEARCH-20260722-LINEAGE-CAUSAL-101,PMID:34707835,PMID:34707835,resolved,"The sole manifested candidate exactly matches the target title, first author Andrew Hoegh, and year 2021; its identifiers are PMID 34707835 and DOI 10.1002/ece3.8107, and its URL is the corresponding PubMed record.",task6-primary-codex-batch-01,PMID:34707835,resolved,"Exact target-title, first-author Andrew Hoegh, and 2021 year match; no non-context target identifier conflicts with candidate PMID 34707835 and DOI 10.1002/ece3.8107.",task6-audit-codex-batch-01,none,,PMID:34707835,resolved,"Exact target-title, first-author Andrew Hoegh, and 2021 year match; no non-context target identifier conflicts with candidate PMID 34707835 and DOI 10.1002/ece3.8107.",https://pubmed.ncbi.nlm.nih.gov/34707835/
LID-20260722-0005,NS-CAUSAL-005,SEARCH-20260722-LINEAGE-CAUSAL-102,PMID:39218437,PMID:39218437,resolved,"The sole manifested candidate exactly matches the target title, first author Paul N Zivich, and year 2025; its identifiers are PMID 39218437 and DOI 10.1093/aje/kwae340, and its URL is the corresponding PubMed record.",task6-primary-codex-batch-01,PMID:39218437,resolved,"Exact target-title, first-author Paul N Zivich, and 2025 year match; no non-context target identifier conflicts with candidate PMID 39218437 and DOI 10.1093/aje/kwae340.",task6-audit-codex-batch-01,none,,PMID:39218437,resolved,"Exact target-title, first-author Paul N Zivich, and 2025 year match; no non-context target identifier conflicts with candidate PMID 39218437 and DOI 10.1093/aje/kwae340.",https://pubmed.ncbi.nlm.nih.gov/39218437/
LID-20260722-0006,NS-CAUSAL-006,SEARCH-20260722-LINEAGE-CAUSAL-103,PMID:20976213,PMID:20976213,resolved,"The sole manifested candidate exactly matches the target title, first author Robin de Vries, and year 2010; its identifiers are PMID 20976213 and DOI 10.1371/journal.pone.0013392, and its URL is the corresponding PubMed record.",task6-primary-codex-batch-01,PMID:20976213,resolved,"Exact target-title, first-author Robin de Vries including the compound surname, and 2010 year match; no non-context target identifier conflicts with candidate PMID 20976213 and DOI 10.1371/journal.pone.0013392.",task6-audit-codex-batch-01,none,,PMID:20976213,resolved,"Exact target-title, first-author Robin de Vries including the compound surname, and 2010 year match; no non-context target identifier conflicts with candidate PMID 20976213 and DOI 10.1371/journal.pone.0013392.",https://pubmed.ncbi.nlm.nih.gov/20976213/
LID-20260722-0007,NS-CAUSAL-007,SEARCH-20260722-LINEAGE-CAUSAL-104|SEARCH-20260722-LINEAGE-CAUSAL-105,PMID:20728761,PMID:20728761,resolved,"Across two supporting variants, the sole manifested candidate exactly matches the target title, first author Tjalke A Westra, and year 2010; its identifiers are PMID 20728761 and DOI 10.1016/j.clinthera.2010.07.017, and its URL is the corresponding PubMed record.",task6-primary-codex-batch-01,PMID:20728761,resolved,"Exact target-title, first-author Tjalke A Westra, and 2010 year match; no non-context target identifier conflicts with candidate PMID 20728761 and DOI 10.1016/j.clinthera.2010.07.017.",task6-audit-codex-batch-01,none,,PMID:20728761,resolved,"Exact target-title, first-author Tjalke A Westra, and 2010 year match; no non-context target identifier conflicts with candidate PMID 20728761 and DOI 10.1016/j.clinthera.2010.07.017.",https://pubmed.ncbi.nlm.nih.gov/20728761/
LID-20260722-0008,NS-CAUSAL-008,SEARCH-20260722-LINEAGE-CAUSAL-106|SEARCH-20260722-LINEAGE-CAUSAL-107,PMID:41281223|PMID:41570185,PMID:41570185,resolved,"Both candidates share the exact title and first author Katherine M Jia, but PMID 41570185 is the 2026 journal article matching the target year, with DOI 10.1097/ede.0000000000001953. PMID 41281223 is the 2025 ArXiv preprint/update and therefore differs in year, PMID, publication identity, and URL; its manifested DOI 10.1001/jamanetworkopen.2021.42725 belongs to a cited JAMA Network Open paper rather than this target.",task6-primary-codex-batch-01,PMID:41570185,resolved,"Both candidates share the target title and first author Katherine M Jia, but PMID 41570185 has the target year 2026; PMID 41281223 is dated 2025. No non-context target PMID, DOI, or URL was supplied; the selected candidate reports DOI 10.1097/ede.0000000000001953.",task6-audit-codex-batch-01,none,,PMID:41570185,resolved,"Both candidates share the target title and first author Katherine M Jia, but PMID 41570185 has the target year 2026; PMID 41281223 is dated 2025. No non-context target PMID, DOI, or URL was supplied; the selected candidate reports DOI 10.1097/ede.0000000000001953.",https://pubmed.ncbi.nlm.nih.gov/41570185/
LID-20260722-0009,NS-CAUSAL-009,SEARCH-20260722-LINEAGE-CAUSAL-108,PMID:35071157,PMID:35071157,resolved,"The sole manifested candidate exactly matches the target title, first author An-Shun Tai, and year 2021; its identifiers are PMID 35071157 and DOI 10.3389/fpubh.2021.757942, and its URL is the corresponding PubMed record.",task6-primary-codex-batch-01,PMID:35071157,resolved,"Exact target-title, first-author An-Shun Tai, and 2021 year match; no non-context target identifier conflicts with candidate PMID 35071157 and DOI 10.3389/fpubh.2021.757942.",task6-audit-codex-batch-01,none,,PMID:35071157,resolved,"Exact target-title, first-author An-Shun Tai, and 2021 year match; no non-context target identifier conflicts with candidate PMID 35071157 and DOI 10.3389/fpubh.2021.757942.",https://pubmed.ncbi.nlm.nih.gov/35071157/
LID-20260722-0010,NS-CAUSAL-010,SEARCH-20260722-LINEAGE-CAUSAL-109|SEARCH-20260722-LINEAGE-CAUSAL-110,PMID:29847479,PMID:29847479,resolved,"Across two supporting variants, the sole manifested candidate exactly matches the target title, first author Marie C D Stoner, and year 2018; its identifiers are PMID 29847479 and DOI 10.1097/qai.0000000000001766, and its URL is the corresponding PubMed record.",task6-primary-codex-batch-01,PMID:29847479,resolved,"Exact target-title, first-author Marie C D Stoner, and 2018 year match; no non-context target identifier conflicts with candidate PMID 29847479 and DOI 10.1097/qai.0000000000001766.",task6-audit-codex-batch-01,none,,PMID:29847479,resolved,"Exact target-title, first-author Marie C D Stoner, and 2018 year match; no non-context target identifier conflicts with candidate PMID 29847479 and DOI 10.1097/qai.0000000000001766.",https://pubmed.ncbi.nlm.nih.gov/29847479/
LID-20260722-0011,NS-CAUSAL-011,SEARCH-20260722-LINEAGE-CAUSAL-111,PMID:41069648,PMID:41069648,resolved,"The sole manifested candidate exactly matches the target title, first author Laura M Güdemann, and year 2025; its identifiers are PMID 41069648 and DOI 10.12688/wellcomeopenres.22955.2, and its URL is the corresponding PubMed record.",task6-primary-codex-batch-01,PMID:41069648,resolved,"Exact target-title, first-author Laura M Güdemann, and 2025 year match; no non-context target identifier conflicts with candidate PMID 41069648 and DOI 10.12688/wellcomeopenres.22955.2.",task6-audit-codex-batch-01,none,,PMID:41069648,resolved,"Exact target-title, first-author Laura M Güdemann, and 2025 year match; no non-context target identifier conflicts with candidate PMID 41069648 and DOI 10.12688/wellcomeopenres.22955.2.",https://pubmed.ncbi.nlm.nih.gov/41069648/
